Date,Country_of_Origin,Country_of_Destination,Product_Category,Trade_Value,Trade_Volume
2016-09-24,China,India,Pharmaceuticals,1909.38,166.0
2011-01-30,Russia,China,Textiles,2343.78,346.0
2012-07-02,China,Germany,Textiles,12596.81,408.0
2018-06-23,Brazil,India,Machinery,515.82,207.0
2015-10-19,Germany,France,Food,21771.38,54.0
2014-04-27,Italy,France,Machinery,23734.83,634.0
2022-07-26,Italy,Japan,Machinery,17627.64,213.0
2021-10-13,USA,China,Vehicles,36872.91,278.0
2010-01-11,Japan,China,Vehicles,1301.18,260.0
2015-09-21,Germany,France,Chemicals,9640.67,337.0
2021-02-19,Italy,India,Electronics,7986.02,155.0
2015-01-04,Japan,USA,Vehicles,17435.04,1996.0
2022-01-24,China,Italy,Textiles,14330.42,381.0
2021-09-07,France,USA,Chemicals,6052.4,810.0
2019-06-04,USA,Canada,Food,2572.51,160.0
2020-01-19,Russia,China,Food,16583.65,384.0
2019-09-08,Germany,Canada,Machinery,10417.56,49.0
2020-09-11,Italy,Germany,Pharmaceuticals,9781.7,1555.0
2017-09-21,USA,Germany,Chemicals,15543.71,830.0
2014-05-14,Italy,Japan,Chemicals,20499.01,684.0
2018-01-24,France,Brazil,Machinery,27641.94,640.0
2016-07-01,Russia,Brazil,Machinery,10786.25,88.0
2014-10-22,USA,Japan,Electronics,26693.61,634.0
2014-01-15,Brazil,USA,Machinery,3725.63,51.0
2016-06-23,Japan,Germany,Chemicals,5312.02,560.0
2013-01-29,France,Japan,Electronics,18273.86,1292.0
2021-02-10,Canada,Japan,Food,3556.93,156.0
2015-08-31,India,Italy,Electronics,15233.67,69.0
2014-12-13,Italy,France,Vehicles,6794.79,64.0
2011-06-19,Germany,India,Chemicals,5505.65,17.0
2012-06-24,France,Canada,Chemicals,32620.13,745.0
2021-05-31,China,India,Textiles,12944.14,1428.0
2018-02-27,Russia,Canada,Chemicals,18999.0,93.0
2012-07-21,Germany,Japan,Pharmaceuticals,29859.9,384.0
2022-04-28,China,Russia,Chemicals,7616.2,1091.0
2021-06-19,Japan,Italy,Textiles,3406.26,517.0
2011-10-02,Brazil,Germany,Food,6907.62,122.0
2022-12-28,China,Italy,Chemicals,16342.26,1062.0
2014-01-22,Japan,China,Pharmaceuticals,14126.7,47.0
2018-05-23,Russia,China,Chemicals,16337.51,758.0
2016-12-22,Russia,Brazil,Chemicals,15022.63,548.0
2018-07-22,Japan,France,Pharmaceuticals,35752.85,19.0
2020-12-08,Brazil,Canada,Chemicals,2603.89,339.0
2019-09-24,Canada,Brazil,Pharmaceuticals,16362.36,1269.0
2018-08-14,Italy,Japan,Vehicles,4602.97,1057.0
2022-11-07,Brazil,Japan,Electronics,34090.0,51.0
2017-07-10,Russia,Japan,Electronics,9622.02,365.0
2010-11-07,Brazil,India,Pharmaceuticals,1154.82,1019.0
2017-10-26,Japan,Russia,Machinery,71868.6,1896.0
2018-05-30,USA,Canada,Pharmaceuticals,8777.54,314.0
2017-12-07,Germany,Canada,Pharmaceuticals,6093.69,147.0
2010-12-19,Brazil,Germany,Chemicals,119.82,139.0
2014-10-11,Canada,India,Vehicles,1340.22,813.0
2011-08-04,Germany,Italy,Vehicles,4455.85,967.0
2014-09-02,France,Japan,Electronics,11454.42,3.0
2010-05-01,Russia,Brazil,Machinery,6336.87,348.0
2012-03-07,USA,Brazil,Textiles,3353.41,412.0
2022-09-26,Germany,Japan,Pharmaceuticals,25420.93,947.0
2021-12-22,Brazil,USA,Chemicals,12245.5,170.0
2015-08-19,Russia,Brazil,Textiles,11850.54,570.0
2021-06-19,Brazil,Russia,Food,17561.6,597.0
2017-04-27,Canada,USA,Electronics,7785.15,252.0
2021-06-03,Brazil,France,Pharmaceuticals,7303.23,50.0
2020-04-23,Russia,France,Machinery,16534.29,309.0
2013-11-01,Canada,France,Textiles,1057.52,1548.0
2011-01-10,Brazil,India,Food,5222.43,744.0
